outfall_id,receiving_waterway,events_06,volume_06,volume_13,events_13,volume_14,events_14,events_15,volume_15,events_16,volume_16,discharge_activation_type,facility,spdes_id,X,Y,latitude,longtitude,location
26-001,Hendrix Canal,,,,,,,,,,,Model,NYCDEP - 26th Ward,NY0026212-001,-73.87688,40.65072,40.65072,-73.87688,"(40.65072, -73.87688)"
26-002,Hendrix Street Canal,,,,,,,,,,,Model,NYCDEP - 26th Ward,NY0026212-002,-73.876834,40.650658,40.650658,-73.876834,"(40.650658, -73.876834)"
26-003,Fresh Creek Basin,47,494,114,8,255,17,9,97,20,263,Monitoring,NYCDEP - 26th Ward,NY0026212-003,-73.890436,40.649287,40.649287,-73.890436,"(40.649287, -73.890436)"
26-004,Fresh Creek Basin,16,36,39,12,58,19,15,35,27,76,Monitoring,NYCDEP - 26th Ward,NY0026212-004,-73.879673,40.654431,40.654431,-73.879673,"(40.654431, -73.879673)"
26-005,Spring Creek,5,98,100,1,334,5,1,54,5,170,Monitoring,NYCDEP - 26th Ward,NY0026212-005,-73.862326,40.657796,40.657796,-73.862326,"(40.657796, -73.862326)"
BB-001,Bowery Bay,,,,,,,,,,,Model,NYCDEP - Bowery Bay WPCP,NY0026158-001,-73.891883,40.780914,40.780914,-73.891883,"(40.780914, -73.891883)"
BB-002,Rikers Island Channel,,988,71,28,98,47,51,129,49,298,Model,NYCDEP - Bowery Bay WPCP,NY0026158-002,-73.892491,40.779511,40.779511,-73.892491,"(40.779511, -73.892491)"
BB-003,Bowery Bay,,54,26,28,41,31,29,24,29,29,Model,NYCDEP - Bowery Bay WPCP,NY0026158-003,-73.889714,40.776428,40.776428,-73.889714,"(40.776428, -73.889714)"
BB-004,Dutch Kills,4,0,0,2,0,4,1,0,0,0,Monitoring,NYCDEP - Bowery Bay WPCP,NY0026158-004,-73.942061,40.739096,40.739096,-73.942061,"(40.739096, -73.942061)"
BB-005,Flushing Bay,,1520,708,51,998,63,61,679,60,527,Model,NYCDEP - Bowery Bay WPCP,NY0026158-005,-73.889351,40.77355,40.77355,-73.889351,"(40.77355, -73.889351)"
BB-006,Flushing Bay,,1434,827,48,1196,59,53,816,53,649,Model,NYCDEP - Bowery Bay WPCP,NY0026158-006,-73.854593,40.760166,40.760166,-73.854593,"(40.760166, -73.854593)"
BB-007,Flushing Bay,,3,1,12,3,16,10,1,45,102,Model,NYCDEP - Bowery Bay WPCP,NY0026158-007,-73.862182,40.765985,40.765985,-73.862182,"(40.765985, -73.862182)"
BB-008,Flushing Bay,,534,449,48,582,57,51,426,48,292,Model,NYCDEP - Bowery Bay WPCP,NY0026158-008,-73.859005,40.762469,40.762469,-73.859005,"(40.762469, -73.859005)"
BB-009,Dutch Kills,35,35,57,32,127,39,31,30,34,41,Model,NYCDEP - Bowery Bay WPCP,NY0026158-009,-73.940311,40.740784,40.740784,-73.940311,"(40.740784, -73.940311)"
BB-010,Dutch Kills,16,2,1,11,2,15,7,0,6,0,Model,NYCDEP - Bowery Bay WPCP,NY0026158-010,-73.941434,40.739439,40.739439,-73.941434,"(40.739439, -73.941434)"
BB-011,Newtown Creek,24,3,2,18,4,20,17,1,16,1,Model,NYCDEP - Bowery Bay WPCP,NY0026158-011,-73.940056,40.733631,40.733631,-73.940056,"(40.733631, -73.940056)"
BB-012,Newtown Creek,5,0,0,2,0,5,2,0,1,0,Model,NYCDEP - Bowery Bay WPCP,NY0026158-012,-73.940398,40.734314,40.734314,-73.940398,"(40.734314, -73.940398)"
BB-013,Newtown Creek,44,39,20,33,25,34,35,18,32,15,Model,NYCDEP - Bowery Bay WPCP,NY0026158-013,-73.952754,40.73962,40.73962,-73.952754,"(40.73962, -73.952754)"
BB-014,Newtown Creek,35,3,2,28,3,29,28,2,24,2,Model,NYCDEP - Bowery Bay WPCP,NY0026158-014,-73.954983,40.739793,40.739793,-73.954983,"(40.739793, -73.954983)"
BB-015,Newtown Creek,39,3,2,30,2,33,33,2,27,1,Model,NYCDEP - Bowery Bay WPCP,NY0026158-015,-73.957651,40.739435,40.739435,-73.957651,"(40.739435, -73.957651)"
BB-016,East River,,2,2,27,3,26,27,2,23,2,Model,NYCDEP - Bowery Bay WPCP,NY0026158-016,-73.96089,40.743158,40.743158,-73.96089,"(40.743158, -73.96089)"
BB-017,East River,,2,1,23,2,28,22,1,27,1,Model,NYCDEP - Bowery Bay WPCP,NY0026158-017,-73.959689,40.7438,40.7438,-73.959689,"(40.7438, -73.959689)"
BB-018,East River,,2,1,21,1,21,21,1,18,0,Model,NYCDEP - Bowery Bay WPCP,NY0026158-018,-73.959004,40.744421,40.744421,-73.959004,"(40.744421, -73.959004)"
BB-021,East River,,31,19,31,29,36,35,17,33,16,Model,NYCDEP - Bowery Bay WPCP,NY0026158-021,-73.958752,40.746576,40.746576,-73.958752,"(40.746576, -73.958752)"
BB-022,East River,,2,1,28,2,18,28,1,18,1,Model,NYCDEP - Bowery Bay WPCP,NY0026158-022,-73.954832,40.748041,40.748041,-73.954832,"(40.748041, -73.954832)"
BB-023,East River,,27,15,31,21,33,30,14,26,13,Model,NYCDEP - Bowery Bay WPCP,NY0026158-023,-73.955992,40.749765,40.749765,-73.955992,"(40.749765, -73.955992)"
BB-024,East River,,97,30,31,48,32,34,27,25,25,Model,NYCDEP - Bowery Bay WPCP,NY0026158-024,-73.952033,40.75381,40.75381,-73.952033,"(40.75381, -73.952033)"
BB-025,East River,,18,8,27,13,29,31,7,27,7,Model,NYCDEP - Bowery Bay WPCP,NY0026158-025,-73.949047,40.75745,40.75745,-73.949047,"(40.75745, -73.949047)"
BB-026,Dutch Kills,47,187,170,37,197,42,35,104,38,95,Model,NYCDEP - Bowery Bay WPCP,NY0026158-026,-73.939278,40.743067,40.743067,-73.939278,"(40.743067, -73.939278)"
BB-027,East River,,8,5,28,8,25,31,4,27,4,Model,NYCDEP - Bowery Bay WPCP,NY0026158-027,-73.947763,40.759045,40.759045,-73.947763,"(40.759045, -73.947763)"
BB-028,East River,,456,285,41,417,44,47,260,40,263,Model,NYCDEP - Bowery Bay WPCP,NY0026158-028,-73.945683,40.76152,40.76152,-73.945683,"(40.76152, -73.945683)"
BB-029,East River,,180,77,30,125,27,32,65,26,75,Model,NYCDEP - Bowery Bay WPCP,NY0026158-029,-73.937797,40.768592,40.768592,-73.937797,"(40.768592, -73.937797)"
BB-030,East River,,19,12,44,17,45,48,11,45,21,Model,NYCDEP - Bowery Bay WPCP,NY0026158-030,-73.934921,40.771194,40.771194,-73.934921,"(40.771194, -73.934921)"
BB-031,East River,,22,22,34,33,44,36,19,17,3,unknown,NYCDEP - Bowery Bay WPCP,NY0026158-031,-73.93476666,40.77158407,40.77158407,-73.93476666,"(40.7715840719217, -73.9347666624325)"
BB-032,East River,,3,1,27,4,36,33,1,16,1,Model,NYCDEP - Bowery Bay WPCP,NY0026158-032,-73.937787,40.774317,40.774317,-73.937787,"(40.774317, -73.937787)"
BB-033,East River,,9,5,29,7,33,28,4,30,4,Model,NYCDEP - Bowery Bay WPCP,NY0026158-033,-73.937075,40.775879,40.775879,-73.937075,"(40.775879, -73.937075)"
BB-034,East River,,223,162,46,231,60,55,151,53,153,Model,NYCDEP - Bowery Bay WPCP,NY0026158-034,-73.92824,40.776954,40.776954,-73.92824,"(40.776954, -73.92824)"
BB-035,East River,,4,3,29,4,26,29,2,31,3,Model,NYCDEP - Bowery Bay WPCP,NY0026158-035,-73.919963,40.782651,40.782651,-73.919963,"(40.782651, -73.919963)"
BB-036,East River,,10,5,25,8,23,27,4,30,6,Model,NYCDEP - Bowery Bay WPCP,NY0026158-036,-73.91726,40.784186,40.784186,-73.91726,"(40.784186, -73.91726)"
BB-037,East River,,1,0,8,0,10,6,0,8,0,Model,NYCDEP - Bowery Bay WPCP,NY0026158-037,-73.915523,40.786129,40.786129,-73.915523,"(40.786129, -73.915523)"
BB-038,East River,,10,88,30,6,32,29,87,,,unknown,NYCDEP - Bowery Bay WPCP,NY0026158-038,-73.91542957,40.78658195,40.78658195,-73.91542957,"(40.7865819532586, -73.9154295681671)"
BB-040,Dutch Kills,21,1,2,19,3,24,19,1,24,2,Model,NYCDEP - Bowery Bay WPCP,NY0026158-040,-73.940817,40.740937,40.740937,-73.940817,"(40.740937, -73.940817)"
