SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,Link to Real-time Information,DEC Region,County,Latitude,Longtitude,Location 1
NY0026107,1,NY0026107-001,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.641355,-74.124855,"(40.641355, -74.124855)"
NY0026107,2,NY0026107-002,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.640039,-74.12347,"(40.640039, -74.12347)"
NY0026107,3,NY0026107-003,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.641517,-74.118397,"(40.641517, -74.118397)"
NY0026107,4,NY0026107-004,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.645553,-74.108859,"(40.645553, -74.108859)"
NY0026107,5,NY0026107-005,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.645504,-74.106785,"(40.645504, -74.106785)"
NY0026107,6,NY0026107-006,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.64536,-74.098394,"(40.64536, -74.098394)"
NY0026107,7,NY0026107-007,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.645491,-74.102072,"(40.645491, -74.102072)"
NY0026107,8,NY0026107-008,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.646004,-74.093068,"(40.646004, -74.093068)"
NY0026107,9,NY0026107-009,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.647321,-74.089374,"(40.647321, -74.089374)"
NY0026107,10,NY0026107-010,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml,2,Richmond,40.648648,-74.084232,"(40.648648, -74.084232)"
