The City of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbor Survey 2008 (35 Stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Column: C~AC: CTD data;  AF~AQ: Field Data;  AR~AX: Bacteria Data;  AY~BO:  Nutrient data;  BP~CA:  Field YSI data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  1. There's no CTD data due to Winch violation (1/17-5/27) and cable problem (9/18-12/18), top Salinity and Temperature were sampled only during the times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"360 w 31st street, new york, ny 10001",,,,20-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  2. Due to incubator temperature calibration issues, some of the FC data are questionable and removed from the HS database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  3. Questionable FC data can be found in the file:,,,,,,,"QD(Questionable Data), See file HSFC2008.exls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,Depth,,Salinity,,Temperature,,O2,,O2 Saturation,,Conductivity,,Light Trans,,Sigma-T,,Fluorometer,,pH,,Photosysthetically Active Radiation Reference (400-700nm light),PAR,,Oxidation Reduction Potential,,Latitude,Longitude,Default,,Hr:Mn,Act. Dep.,Current,,Wind,,Sea State,O2 (Wnklr),,Secchi,pH,,Fecal  Coliform,,Inc.,Enterococcus,,Inc.,Weather,NO3/NO2-N,,NH3-N,,Ortho-P,,TKN-N,,SiO2,,Total-P,,TSS,,Chl a,,DOC,Depth (YSI),,Salinity (YSI),,Temperature (YSI),,Chl a (field),,DO (YSI),,Turbidity (YSI),,Weather,,,
,,(ft),,(psu),,(deg C),,(mg/L),,(% sat),,(S/M),,(%Trans.),,(kg/m3),,(mg/m3),,,,uE/s m2,uE/s m2,,mV,,,,Latitude,Longitude,,(ft),(knots),,(mph),,,(mg/L),,(ft),,,(#/100 mL),,#,(#/100 mL),,#,,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(μg/L),,(mg/L),(ft),,(psu),,(deg C),,(μg/L),,(mg/L),,,,Rain Gage,,,
   ,,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,,,,,,,Speed,Dir.,Speed,Dir.,,Top,Bot,,Top,Bot,Top,Bot,,Top,Bot,,Dry/Wet,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Dry/Wet,,,
E10,1/14/08,5,85,25.46,24.29,4.83,4.66,ND,ND,ND,ND,2.50,2.38,ND,ND,20.14,19.22,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:56 AM,92.0,0.7,N,9,N,1,12.94,12.08,6.0,7.50,7.62,80,ND,,24,ND,,W,0.314,,0.324,,0.112,,0.656,,2.450,,0.146,,7.8,13.3,2.303,,2.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E8,1/14/08,5,79,25.20,25.38,4.88,4.70,ND,ND,ND,ND,2.48,2.48,ND,ND,19.93,20.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:17 AM,87.0,0.8,E,9,N,1,12.08,12.02,7.0,7.67,7.70,80,ND,,40,ND,,W,0.327,,0.366,,0.111,,0.774,,2.540,,0.164,,7.2,12.0,1.504,,2.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E7,1/14/08,4,34,24.87,24.85,5.05,4.99,ND,ND,ND,ND,2.46,2.45,ND,ND,19.65,19.64,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:35 AM,48.0,0.9,E,9,N,1,11.49,11.48,5.0,7.67,7.72,188,ND,,160,ND,,W,0.358,,0.490,,0.124,,0.946,,2.570,,0.168,,8.7,11.0,1.688,,2.95,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E6,1/14/08,5,16,23.82,24.10,5.10,4.89,ND,ND,ND,ND,2.37,2.38,ND,ND,18.82,19.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:57 AM,20.0,0.5,S,10,W,1,11.44,11.29,5.0,7.67,7.69,280,ND,,216,ND,,W,0.368,,0.588,,0.142,,1.100,,2.600,,0.190,,8.5,10.0,1.438,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
FB1,1/14/08,5,19,22.54,23.62,5.28,5.42,ND,ND,ND,ND,2.26,2.37,ND,ND,17.79,18.63,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:31 PM,22.0,0.7,S,8,N,1,11.19,10.92,4.5,7.50,7.55,1550,ND,,950,ND,,W,0.401,,0.686,,0.146,,1.320,,2.600,,0.202,,6.3,7.2,1.512,,3.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E15,1/14/08,4,13,22.32,22.69,5.27,5.29,ND,ND,ND,ND,2.24,2.28,ND,ND,17.62,17.91,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:39 PM,15.0,0.7,S,7,NW,1,10.88,10.94,4.0,7.56,7.57,2360,ND,,1420,ND,,W,0.401,,0.669,,0.144,,1.160,,2.570,,0.204,,12.2,11.5,1.416,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
FLC2,1/14/08,4,18,21.82,21.83,5.22,5.26,ND,ND,ND,ND,2.19,2.19,ND,ND,17.22,17.23,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:46 PM,17.0,0.3,ND,5,NE,1,9.89,9.83,3.0,7.53,7.57,4000,ND,,5200,ND,,W,0.404,,0.730,,0.140,,1.470,,2.640,,0.220,,6.8,7.0,1.548,,4.50,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
FLC1,1/14/08,5,15,22.12,22.12,5.38,5.35,ND,ND,ND,ND,2.23,2.23,ND,ND,17.45,17.45,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:53 PM,17.0,0.3,S,3,W,1,10.01,9.99,3.5,7.55,7.58,4000,ND,,8300,ND,,W,0.392,,0.747,,0.144,,1.410,,2.700,,0.229,,4.7,7.7,1.860,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
