,,,,,,,,,,,,,,,
,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,Harbor Survey 2013,,,,,,1/23/18
,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,Weather,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),Wet/Dry,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,,,,,,
,,,,,,,,,,,,,,,
,AC1,12/30/2013,10.43,NS,18000,NS,7800,NS,NS,Wet,,,,,
,E11,12/30/2013,10.42,NS,2000,NS,340,NS,NS,Wet,,,,,
,LN1,12/30/2013,10.29,NS,570,NS,270,NS,NS,Wet,,,,,
,AC1,12/26/2013,9.03,NS,57000,NS,31000,NS,NS,Dry,,,,,
,E11,12/26/2013,10.40,NS,690,NS,100,NS,NS,Dry,,,,,
,LN1,12/26/2013,10.69,NS,1290,NS,230,NS,NS,Dry,,,,,
,AC1,12/19/2013,10.41,NS,5100,NS,1700,NS,NS,Dry,,,,,
,E11,12/19/2013,10.47,NS,8,NS,1,NS,NS,Dry,,,,,
,LN1,12/19/2013,10.78,NS,21,NS,8,NS,NS,Dry,,,,,
,AC1,12/12/2013,11.30,NS,118000,NS,50000,NS,NS,Dry,,,,,
,BR1,12/12/2013,12.06,NS,4100,NS,700,NS,NS,Dry,,,,,
,BR3,12/12/2013,8.58,NS,1000,NS,236,NS,NS,Dry,,,,,
,E11,12/12/2013,10.04,NS,19,NS,1,NS,NS,Dry,,,,,
,LN1,12/12/2013,11.04,NS,42,NS,5,NS,NS,Dry,,,,,
,GC3,12/10/2013,3.26,3.26,3900,2800,700,940,NS,Dry,,,,,
,GC4,12/10/2013,3.61,3.69,2200,4300,840,840,NS,Dry,,,,,
,GC5,12/10/2013,5.03,4.85,2800,4500,1600,1200,NS,Dry,,,,,
,GC6,12/10/2013,8.80,6.00,1700,790,690,630,NS,Dry,,,,,
,CIC2,12/09/2013,8.51,NS,66000,NS,15000,NS,NS,Dry,,,,,
,HC1,12/09/2013,7.12,1.51,10,NS,10,NS,NS,Dry,,,,,
,HC2,12/09/2013,7.81,9.78,10,NS,10,NS,NS,Dry,,,,,
,SP1,12/09/2013,10.21,NS,560,NS,2800,NS,NS,Dry,,,,,
,BB2,12/04/2013,7.70,NS,42000,NS,2000,NS,3.5,Dry,,,,,
,BB4,12/04/2013,9.98,9.65,1800,NS,46,NS,4.0,Dry,,,,,
,CIC3,12/04/2013,8.58,8.53,220,NS,14,NS,7.0,Dry,,,,,
,GB1,12/04/2013,9.01,8.83,7,NS,1,NS,7.0,Dry,,,,,
,J1,12/04/2013,9.53,9.39,5,NS,10,NS,7.0,Dry,,,,,
,J10,12/04/2013,9.70,9.65,32,NS,1,NS,6.5,Dry,,,,,
,J11,12/04/2013,9.23,8.54,12,NS,1,NS,6.5,Dry,,,,,
,J12,12/04/2013,11.42,9.74,52,NS,3,NS,5.5,Dry,,,,,
,J2,12/04/2013,9.58,9.41,32,NS,1,NS,6.5,Dry,,,,,
,J3,12/04/2013,9.52,9.50,136,NS,7,NS,7.0,Dry,,,,,
,J5,12/04/2013,10.69,10.63,9,NS,1,NS,6.0,Dry,,,,,
,J7,12/04/2013,10.38,9.88,200,NS,8,NS,5.0,Dry,,,,,
,J8,12/04/2013,10.09,9.94,108,NS,4,NS,6.0,Dry,,,,,
,J9A,12/04/2013,9.85,10.02,176,NS,6,NS,7.0,Dry,,,,,
,N16,12/04/2013,9.22,8.84,2,NS,1,NS,8.0,Dry,,,,,
,N9,12/04/2013,8.53,8.83,5,NS,2,NS,7.0,Dry,,,,,
,N9A,12/04/2013,8.85,8.86,6,NS,1,NS,4.0,Dry,,,,,
,PB2,12/04/2013,9.67,9.57,44,NS,2,NS,7.0,Dry,,,,,
,PB3,12/04/2013,9.92,NS,42,NS,3,NS,7.0,Dry,,,,,
,SP2,12/04/2013,10.01,NS,232,NS,11,NS,6.0,Dry,,,,,
,G2,12/03/2013,8.45,8.54,15,NS,8,NS,4.5,Dry,,,,,
,K1,12/03/2013,8.94,8.90,10,NS,26,NS,4.0,Dry,,,,,
,K2,12/03/2013,8.91,8.88,28,NS,52,NS,3.5,Dry,,,,,
,K3,12/03/2013,9.12,9.03,48,NS,33,NS,4.5,Dry,,,,,
,K4,12/03/2013,8.87,8.84,22,NS,20,NS,4.0,Dry,,,,,
,K5,12/03/2013,9.97,10.22,16,NS,21,NS,2.5,Dry,,,,,
,K5A,12/03/2013,10.64,10.54,58,NS,41,NS,2.5,Dry,,,,,
,K6,12/03/2013,10.05,10.02,1,NS,3,NS,4.5,Dry,,,,,
,N6,12/03/2013,8.87,8.85,2,NS,14,NS,2.5,Dry,,,,,
,N7,12/03/2013,8.83,8.89,20,NS,5,NS,4.0,Dry,,,,,
,N8,12/03/2013,8.90,8.70,8,NS,4,NS,5.0,Dry,,,,,
,NC0,12/03/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,NC1,12/03/2013,6.49,7.00,11,8,16,12,NS,Dry,,,,,
,NC2,12/03/2013,7.32,7.54,6,14,16,12,6.0,Dry,,,,,
,NC3,12/03/2013,7.67,8.17,8,8,4,8,5.5,Dry,,,,,
,BR5,12/02/2013,9.23,NS,66,NS,29,NS,5.0,Dry,,,,,
,E10,12/02/2013,9.36,9.38,8,NS,4,NS,6.5,Dry,,,,,
,E11,12/02/2013,9.30,NS,124,NS,120,NS,5.5,Dry,,,,,
,E14,12/02/2013,8.94,9.34,6,NS,4,NS,5.0,Dry,,,,,
,E15,12/02/2013,8.70,8.79,39,NS,9,NS,6.0,Dry,,,,,
,E2,12/02/2013,8.72,8.64,24,NS,6,NS,NS,Dry,,,,,
,E4,12/02/2013,9.02,8.87,10,NS,7,NS,5.0,Dry,,,,,
,E6,12/02/2013,8.92,8.83,8,NS,6,NS,6.0,Dry,,,,,
,E7,12/02/2013,9.05,9.08,11,NS,4,NS,6.0,Dry,,,,,
,E8,12/02/2013,8.96,9.15,15,NS,4,NS,7.0,Dry,,,,,
,FB1,12/02/2013,9.07,8.62,53,NS,23,NS,5.5,Dry,,,,,
,FLC1,12/02/2013,8.79,8.53,88,NS,21,NS,5.0,Dry,,,,,
,FLC2,12/02/2013,8.52,8.61,69,NS,31,NS,6.0,Dry,,,,,
