,month,day,year,date,rain,precip_in,precip_m,snow,snow_in,snow_m
0,01,01,2002,"12:00 PM EST on January 01, 2002",0,0.00,0.00,0,0.00,0.00
1,01,02,2002,"12:00 PM EST on January 02, 2002",0,0.00,0.00,0,0.00,0.00
2,01,03,2002,"12:00 PM EST on January 03, 2002",0,0.00,0.00,0,0.00,0.00
3,01,04,2002,"12:00 PM EST on January 04, 2002",0,0.00,0.00,0,0.00,0.00
4,01,05,2002,"12:00 PM EST on January 05, 2002",0,0.00,0.00,0,0.00,0.00
5,01,06,2002,"12:00 PM EST on January 06, 2002",1,0.62,15.75,0,0.00,0.00
6,01,07,2002,"12:00 PM EST on January 07, 2002",0,0.08,2.03,1,0.00,0.00
7,01,08,2002,"12:00 PM EST on January 08, 2002",0,0.00,0.00,0,0.00,0.00
8,01,09,2002,"12:00 PM EST on January 09, 2002",1,0.08,2.03,0,0.00,0.00
9,01,10,2002,"12:00 PM EST on January 10, 2002",0,0.00,0.00,0,0.00,0.00
10,01,11,2002,"12:00 PM EST on January 11, 2002",1,0.02,0.51,0,0.00,0.00
11,01,12,2002,"12:00 PM EST on January 12, 2002",0,0.00,0.00,0,0.00,0.00
12,01,13,2002,"12:00 PM EST on January 13, 2002",1,0.02,0.51,0,0.00,0.00
13,01,14,2002,"12:00 PM EST on January 14, 2002",0,0.00,0.00,0,0.00,0.00
14,01,15,2002,"12:00 PM EST on January 15, 2002",0,0.00,0.00,0,0.00,0.00
15,01,16,2002,"12:00 PM EST on January 16, 2002",0,0.00,0.00,0,0.00,0.00
16,01,17,2002,"12:00 PM EST on January 17, 2002",0,0.00,0.00,1,0.00,0.00
17,01,18,2002,"12:00 PM EST on January 18, 2002",0,0.00,0.00,0,0.00,0.00
18,01,19,2002,"12:00 PM EST on January 19, 2002",0,0.32,8.13,1,0.00,0.00
19,01,20,2002,"12:00 PM EST on January 20, 2002",0,0.00,0.00,1,0.00,0.00
20,01,21,2002,"12:00 PM EST on January 21, 2002",1,0.15,3.81,0,0.00,0.00
21,01,22,2002,"12:00 PM EST on January 22, 2002",0,0.00,0.00,0,0.00,0.00
22,01,23,2002,"12:00 PM EST on January 23, 2002",0,0.00,0.00,0,0.00,0.00
23,01,24,2002,"12:00 PM EST on January 24, 2002",1,0.31,7.87,0,0.00,0.00
24,01,25,2002,"12:00 PM EST on January 25, 2002",0,0.00,0.00,0,0.00,0.00
25,01,26,2002,"12:00 PM EST on January 26, 2002",0,0.00,0.00,0,0.00,0.00
26,01,27,2002,"12:00 PM EST on January 27, 2002",0,0.00,0.00,0,0.00,0.00
27,01,28,2002,"12:00 PM EST on January 28, 2002",0,0.00,0.00,0,0.00,0.00
28,01,29,2002,"12:00 PM EST on January 29, 2002",0,0.00,0.00,0,0.00,0.00
29,01,30,2002,"12:00 PM EST on January 30, 2002",1,0.03,0.76,0,0.00,0.00
30,01,31,2002,"12:00 PM EST on January 31, 2002",0,0.06,1.52,0,0.00,0.00
31,02,01,2002,"12:00 PM EST on February 01, 2002",1,0.15,3.81,0,0.00,0.00
32,02,02,2002,"12:00 PM EST on February 02, 2002",0,0.00,0.00,0,0.00,0.00
33,02,03,2002,"12:00 PM EST on February 03, 2002",0,0.00,0.00,0,0.00,0.00
34,02,04,2002,"12:00 PM EST on February 04, 2002",0,0.00,0.00,1,0.00,0.00
35,02,05,2002,"12:00 PM EST on February 05, 2002",0,0.00,0.00,0,0.00,0.00
36,02,06,2002,"12:00 PM EST on February 06, 2002",0,0.00,0.00,0,0.00,0.00
37,02,07,2002,"12:00 PM EST on February 07, 2002",0,0.02,0.51,0,0.00,0.00
38,02,08,2002,"12:00 PM EST on February 08, 2002",0,0.00,0.00,0,0.00,0.00
39,02,09,2002,"12:00 PM EST on February 09, 2002",0,0.00,0.00,0,0.00,0.00
40,02,10,2002,"12:00 PM EST on February 10, 2002",1,0.30,7.62,0,0.00,0.00
41,02,11,2002,"12:00 PM EST on February 11, 2002",1,0.08,2.03,0,0.00,0.00
42,02,12,2002,"12:00 PM EST on February 12, 2002",0,0.00,0.00,0,0.00,0.00
43,02,13,2002,"12:00 PM EST on February 13, 2002",0,0.00,0.00,0,0.00,0.00
44,02,14,2002,"12:00 PM EST on February 14, 2002",0,0.00,0.00,0,0.00,0.00
45,02,15,2002,"12:00 PM EST on February 15, 2002",0,0.00,0.00,0,0.00,0.00
46,02,16,2002,"12:00 PM EST on February 16, 2002",0,0.00,0.00,0,0.00,0.00
47,02,17,2002,"12:00 PM EST on February 17, 2002",1,0.00,0.00,0,0.00,0.00
48,02,18,2002,"12:00 PM EST on February 18, 2002",0,0.00,0.00,0,0.00,0.00
49,02,19,2002,"12:00 PM EST on February 19, 2002",0,0.00,0.00,0,0.00,0.00
50,02,20,2002,"12:00 PM EST on February 20, 2002",1,0.08,2.03,0,0.00,0.00
51,02,21,2002,"12:00 PM EST on February 21, 2002",0,0.03,0.76,0,0.00,0.00
52,02,22,2002,"12:00 PM EST on February 22, 2002",0,0.00,0.00,0,0.00,0.00
53,02,23,2002,"12:00 PM EST on February 23, 2002",0,0.00,0.00,0,0.00,0.00
54,02,24,2002,"12:00 PM EST on February 24, 2002",0,0.00,0.00,0,0.00,0.00
55,02,25,2002,"12:00 PM EST on February 25, 2002",0,0.00,0.00,0,0.00,0.00
56,02,26,2002,"12:00 PM EST on February 26, 2002",0,0.00,0.00,0,0.00,0.00
57,02,27,2002,"12:00 PM EST on February 27, 2002",0,0.05,1.27,1,0.00,0.00
58,02,28,2002,"12:00 PM EST on February 28, 2002",0,0.00,0.00,0,0.00,0.00
59,03,01,2002,"12:00 PM EST on March 01, 2002",0,0.00,0.00,0,0.00,0.00
60,03,02,2002,"12:00 PM EST on March 02, 2002",1,0.34,8.64,0,0.00,0.00
61,03,03,2002,"12:00 PM EST on March 03, 2002",1,0.83,21.08,0,0.00,0.00
62,03,04,2002,"12:00 PM EST on March 04, 2002",0,0.00,0.00,0,0.00,0.00
63,03,05,2002,"12:00 PM EST on March 05, 2002",0,0.00,0.00,0,0.00,0.00
64,03,06,2002,"12:00 PM EST on March 06, 2002",0,0.00,0.00,0,0.00,0.00
65,03,07,2002,"12:00 PM EST on March 07, 2002",0,0.00,0.00,0,0.00,0.00
66,03,08,2002,"12:00 PM EST on March 08, 2002",0,0.00,0.00,0,0.00,0.00
67,03,09,2002,"12:00 PM EST on March 09, 2002",0,0.00,0.00,0,0.00,0.00
68,03,10,2002,"12:00 PM EST on March 10, 2002",1,0.08,2.03,0,0.00,0.00
69,03,11,2002,"12:00 PM EST on March 11, 2002",0,0.00,0.00,0,0.00,0.00
70,03,12,2002,"12:00 PM EST on March 12, 2002",0,0.00,0.00,0,0.00,0.00
71,03,13,2002,"12:00 PM EST on March 13, 2002",1,0.28,7.11,0,0.00,0.00
72,03,14,2002,"12:00 PM EST on March 14, 2002",0,0.00,0.00,0,0.00,0.00
73,03,15,2002,"12:00 PM EST on March 15, 2002",0,0.00,0.00,0,0.00,0.00
74,03,16,2002,"12:00 PM EST on March 16, 2002",1,0.00,0.00,0,0.00,0.00
75,03,17,2002,"12:00 PM EST on March 17, 2002",1,0.00,0.00,1,0.00,0.00
76,03,18,2002,"12:00 PM EST on March 18, 2002",1,0.30,7.62,1,0.00,0.00
77,03,19,2002,"12:00 PM EST on March 19, 2002",0,0.00,0.00,0,0.00,0.00
78,03,20,2002,"12:00 PM EST on March 20, 2002",1,0.80,20.32,0,0.00,0.00
79,03,21,2002,"12:00 PM EST on March 21, 2002",1,0.00,0.00,0,0.00,0.00
80,03,22,2002,"12:00 PM EST on March 22, 2002",0,0.00,0.00,0,0.00,0.00
81,03,23,2002,"12:00 PM EST on March 23, 2002",0,0.00,0.00,0,0.00,0.00
82,03,24,2002,"12:00 PM EST on March 24, 2002",0,0.00,0.00,0,0.00,0.00
83,03,25,2002,"12:00 PM EST on March 25, 2002",0,0.02,0.51,0,0.00,0.00
84,03,26,2002,"12:00 PM EST on March 26, 2002",1,0.27,6.86,0,0.00,0.00
85,03,27,2002,"12:00 PM EST on March 27, 2002",1,0.31,7.87,0,0.00,0.00
86,03,28,2002,"12:00 PM EST on March 28, 2002",0,0.00,0.00,0,0.00,0.00
87,03,29,2002,"12:00 PM EST on March 29, 2002",0,0.00,0.00,0,0.00,0.00
88,03,30,2002,"12:00 PM EST on March 30, 2002",0,0.00,0.00,0,0.00,0.00
89,03,31,2002,"12:00 PM EST on March 31, 2002",1,0.28,7.11,0,0.00,0.00
90,04,01,2002,"12:00 PM EST on April 01, 2002",1,0.06,1.52,0,0.00,0.00
91,04,02,2002,"12:00 PM EST on April 02, 2002",0,0.00,0.00,0,0.00,0.00
92,04,03,2002,"12:00 PM EST on April 03, 2002",1,0.05,1.27,0,0.00,0.00
93,04,04,2002,"12:00 PM EST on April 04, 2002",0,0.00,0.00,0,0.00,0.00
94,04,05,2002,"12:00 PM EST on April 05, 2002",0,0.00,0.00,0,0.00,0.00
95,04,06,2002,"12:00 PM EST on April 06, 2002",0,0.00,0.00,0,0.00,0.00
96,04,07,2002,"12:00 PM EDT on April 07, 2002",0,0.00,0.00,0,0.00,0.00
97,04,08,2002,"12:00 PM EDT on April 08, 2002",0,0.00,0.00,0,0.00,0.00
98,04,09,2002,"12:00 PM EDT on April 09, 2002",1,0.02,0.51,0,0.00,0.00
99,04,10,2002,"12:00 PM EDT on April 10, 2002",1,0.03,0.76,0,0.00,0.00
100,04,11,2002,"12:00 PM EDT on April 11, 2002",0,0.00,0.00,0,0.00,0.00
101,04,12,2002,"12:00 PM EDT on April 12, 2002",1,0.11,2.79,0,0.00,0.00
102,04,13,2002,"12:00 PM EDT on April 13, 2002",1,0.00,0.00,0,0.00,0.00
103,04,14,2002,"12:00 PM EDT on April 14, 2002",1,0.13,3.30,0,0.00,0.00
104,04,15,2002,"12:00 PM EDT on April 15, 2002",1,0.03,0.76,0,0.00,0.00
105,04,16,2002,"12:00 PM EDT on April 16, 2002",0,0.00,0.00,0,0.00,0.00
106,04,17,2002,"12:00 PM EDT on April 17, 2002",0,0.00,0.00,0,0.00,0.00
107,04,18,2002,"12:00 PM EDT on April 18, 2002",0,0.00,0.00,0,0.00,0.00
108,04,19,2002,"12:00 PM EDT on April 19, 2002",1,0.20,5.08,0,0.00,0.00
109,04,20,2002,"12:00 PM EDT on April 20, 2002",1,0.03,0.76,0,0.00,0.00
110,04,21,2002,"12:00 PM EDT on April 21, 2002",1,0.01,0.25,0,0.00,0.00
111,04,22,2002,"12:00 PM EDT on April 22, 2002",1,0.00,0.00,0,0.00,0.00
112,04,23,2002,"12:00 PM EDT on April 23, 2002",0,0.00,0.00,0,0.00,0.00
113,04,24,2002,"12:00 PM EDT on April 24, 2002",0,0.01,0.25,0,0.00,0.00
114,04,25,2002,"12:00 PM EDT on April 25, 2002",1,0.55,13.97,0,0.00,0.00
115,04,26,2002,"12:00 PM EDT on April 26, 2002",0,0.00,0.00,0,0.00,0.00
116,04,27,2002,"12:00 PM EDT on April 27, 2002",0,0.00,0.00,0,0.00,0.00
117,04,28,2002,"12:00 PM EDT on April 28, 2002",1,1.64,41.66,0,0.00,0.00
118,04,29,2002,"12:00 PM EDT on April 29, 2002",0,0.00,0.00,0,0.00,0.00
119,04,30,2002,"12:00 PM EDT on April 30, 2002",1,0.15,3.81,0,0.00,0.00
120,05,01,2002,"12:00 PM EDT on May 01, 2002",0,0.00,0.00,0,0.00,0.00
121,05,02,2002,"12:00 PM EDT on May 02, 2002",1,0.43,10.92,0,0.00,0.00
122,05,03,2002,"12:00 PM EDT on May 03, 2002",0,0.00,0.00,0,0.00,0.00
123,05,04,2002,"12:00 PM EDT on May 04, 2002",0,500.10,12702.54,0,0.00,0.00
124,05,05,2002,"12:00 PM EDT on May 05, 2002",0,0.00,0.00,0,0.00,0.00
125,05,06,2002,"12:00 PM EDT on May 06, 2002",0,0.00,0.00,0,0.00,0.00
126,05,07,2002,"12:00 PM EDT on May 07, 2002",0,0.00,0.00,0,0.00,0.00
127,05,08,2002,"12:00 PM EDT on May 08, 2002",0,0.00,0.00,0,0.00,0.00
128,05,09,2002,"12:00 PM EDT on May 09, 2002",1,0.15,3.81,0,0.00,0.00
129,05,10,2002,"12:00 PM EDT on May 10, 2002",0,0.00,0.00,0,0.00,0.00
130,05,11,2002,"12:00 PM EDT on May 11, 2002",0,0.00,0.00,0,0.00,0.00
131,05,12,2002,"12:00 PM EDT on May 12, 2002",1,0.15,3.81,0,0.00,0.00
132,05,13,2002,"12:00 PM EDT on May 13, 2002",1,0.90,22.86,0,0.00,0.00
133,05,14,2002,"12:00 PM EDT on May 14, 2002",0,0.05,1.27,0,0.00,0.00
134,05,15,2002,"12:00 PM EDT on May 15, 2002",0,0.00,0.00,0,0.00,0.00
135,05,16,2002,"12:00 PM EDT on May 16, 2002",0,0.00,0.00,0,0.00,0.00
136,05,17,2002,"12:00 PM EDT on May 17, 2002",1,0.04,1.02,0,0.00,0.00
137,05,18,2002,"12:00 PM EDT on May 18, 2002",1,1.58,40.13,0,0.00,0.00
